sku,name,category,cost_price,wholesale_price,retail_price,available
sk_01,Social Dog,SKIN,40,60,100,TRUE
ha_01,April Velour,HAIR,54,81,135,TRUE
fr_01,Brutal Noir,FRAGRANCE,85,127.5,212.5,TRUE
ho_01,Captain + Rock,HOME,68,102,170,TRUE
sk_02,Boston Moon,SKIN,94,141,235,TRUE
ha_02,Alien Laurel,HAIR,83,124.5,207.5,TRUE
sk_03,Hasty Dogs,SKIN,57,85.5,142.5,TRUE
sk_04,Thirteen Sun,SKIN,72,108,180,TRUE
ho_02,Moses Bombshell,HOME,60,90,150,TRUE
ho_03,Worthy Elm,HOME,59,88.5,147.5,TRUE
sk_05,Blind Spot Salvation,SKIN,40,60,100,TRUE
sk_06,Burly Reactor,SKIN,77,115.5,192.5,TRUE
sk_07,Slate Beat,SKIN,42,63,105,TRUE
fr_02,Arrogant Bistro,FRAGRANCE,46,69,115,TRUE
ha_03,Obsidian Shock,HAIR,98,147,245,TRUE
fr_03,Mister Brooklyn,FRAGRANCE,92,138,230,TRUE
ho_04,Alien Goose,HOME,50,75,125,TRUE
sk_08,Biting Canopy,SKIN,56,84,140,TRUE
sk_09,Confusing Particles,SKIN,74,111,185,TRUE
